Number_in_place,Toilet,Parking,place_name_raw,place_name_jp,place_name_en,desc_jp,desc_en,latitude,longitude
,,,Yakushido,薬師堂,Yakushido,医薬の仏である薬師如来を祀る堂。,"A hall housing a statue of Yakushi, the Buddha of healing and medicine.",34.8655111,135.4903957
17,,,Daishido,大師堂,Daishido,偉大な仏教指導者や高僧を祀る堂。,A hall honoring great Buddhist teachers or masters.,34.8658916,135.4908593
,,,Katsuō-ji Waterfall,勝尾寺人工滝,Katsuō-ji Waterfall,寺院の境内にある滝で、霊的な意味や自然の美しさがあると考えられる。,"A natural waterfall on the temple grounds, likely considered a place of spiritual significance or natural beauty.",34.8652455,135.4931799
25,,,勝尾寺霊苑,勝尾寺霊苑,Katsuoji Temple Cemetery,巡礼者が納経帳に御朱印を受けることができる場所。,"The office where visitors can get their pilgrim's scrolls stamped and inscribed.

",34.8654902,135.4937836
8,,,知恵の環,知恵の環,Chie no wa (Ring of Wisdom),知恵や学問に関連する象徴的な構造物やオブジェ。,Possibly a symbolic structure or object related to gaining wisdom or knowledge.,34.8651849,135.4926467
7,,,Benzaiten,弁財天社,Benzaiten,水、言葉、音楽、弁舌などの流れるものを司る女神・弁財天を祀る社。,"A shrine or statue dedicated to Benzaiten, the goddess of everything that flows, including water, words, speech, eloquence, and music.",34.8650451,135.4930145
6,,,Okiyome Bridge,お清め橋,Okiyome Bridge,参拝者が渡ることで浄化の儀式を行う橋。,A bridge that visitors cross as part of a purification ritual.,34.8647526,135.4928306
5,,,Sanmon,山門,Sanmon,寺院の正門で、秋の夜にはライトアップされ神秘的な雰囲気を醸し出す,"The main gate of the temple, which is illuminated during autumn evenings, creating a mystical atmosphere.",34.8645998,135.4929981
,T2,,Toilet,トイレ,Toilet,,,34.8632256,135.4992687
4,,,鯉のエサやり場,鯉のエサやり場,Koi feeding area,訪問者が鯉に餌を与えることができる池で、鯉は縁起の良い生き物とされる。,"A pond or area where visitors can feed koi fish, which are often considered auspicious in Japanese culture.
",34.8649766,135.4932629
3,,,コムニカチオショップ,無料休憩所,Communicatio Shop,寺院関連のお守りや地元の商品を販売する土産物店。,"A souvenir shop selling temple-related items, charms, and local products.",,
-,,,美光園,美光園,Bikoen,特定の光の条件で特に美しく見える庭園。,"A  garden area, possibly with special lighting features or designed to be particularly beautiful in certain light conditions.",34.8646154,135.4935033
1,,,Katsuō-ji Entrance,参拝入口,Katsuō-ji Entrance,寺院の正門・入り口。,The main entry point to the temple grounds.,34.8645023,135.4933813
-,,,勅使門,勅使門,Chokushi-mon,かつて天皇の使者や高位の訪問者が通った特別な門。,A special gate historically used for imperial messengers or other high-ranking visitors,34.8643703,135.4932133
-,,,お迎え地蔵様,お迎え地蔵様,Omukae jizo-sama,訪問者を迎える地蔵菩薩像で、旅人や子供を守護するとされる。,"A statue of Jizo, a bodhisattva who protects travelers and children, positioned to welcome visitors to the temple.",34.8643756,135.4930511
26,,,Katsuoji,阪急ばすのりば,Katsuoji Bus Stop,"
勝尾寺への交通手段として利用されるバス停",,34.8657752,135.491087
-,,P1,Katsuoji Dai 1 Parking Lot,勝尾寺第1駐車場,Katsuoji Dai 1 Parking Lot,寺院を訪れる車のための主要な駐車場。,"The primary parking area for temple visitors, indicating that the temple receives a significant number of visitors by car.",34.8643194,135.4940867
,,P2,Katsuoji Dai 2 Parking Lot,勝尾寺第2駐車場,Katsuoji Dai 2 Parking Lot,,,34.8647134,135.4919369
27,,,寺務所,寺務所,Temple Office,勝尾寺の管理・運営を担当する事務所で、参拝者への案内や儀式の管理などを行う。,"The Temple Office at Katsuoji Temple is the administrative hub for the complex, handling tasks such as visitor information, event coordination, and maintenance of the temple grounds. It likely provides assistance with religious ceremonies, manages donations, and offers temple-related items for purchase. Located within the temple grounds, the office serves as a central point for inquiries and support, and can be contacted directly for more detailed information.",34.86470733,135.4922181
28,,,宿坊 応頂閣,宿坊 応頂閣,Ochokaku Temple Lodgings,"箕面国定公園内にある宿泊施設を兼ねた修行道場。各種の集会やイベントに利用される。

","Ochokaku at Katsuoji Temple is a modern training hall and lodging facility located in the Mino Quasi-national Park, offering a serene environment amidst nature. It provides various halls and meeting rooms suitable for events and gatherings, though specific details about traditional temple lodging experiences are not detailed in the available information.",34.8651948,135.4915835
2,,,喫煙所,喫煙所,Smoking Area,,,34.8645492,135.4936231
-,T1,,Toilet,トイレ,Toilet,,,34.8646952,135.49339
-,T4,,Toilet,トイレ,Toilet,,,34.86470733,135.4922181
9,,,"宝物館","宝物館",Treasure Hall,"宝物館（Homotsu-kan）は、勝尾寺の建物の一つとして言及されていますが、一般公開はされていません。これは、おそらく貴重な文化財、宗教的遺物、または1300年の歴史を持つ寺院に関連する歴史的な品々が収められていることを示しています。訪問者は直接宝物館に入ることはできませんが、広大な80,000平方メートルの境内にある本堂（Hondo）や豊臣秀頼によって再建された山門をはじめ、多くの重要な建築物を見学することができます。","The treasure hall, or Homotsu-kan, is mentioned as one of the buildings at Katsuoji Temple. However, it is not open to the public. This suggests that the treasure hall likely houses valuable artifacts, religious relics, or historical items related to the temple's 1300-year history. While visitors cannot access the treasure hall directly, they can still explore many other significant structures within the temple's vast 80,000 square meter grounds, including the main hall (Hon-do) and the temple gate, which were rebuilt by Hideyori Toyotomi.
",34.8654303,135.4926393
29,,,タクシーのりば,タクシーのりば,Taxi Stand,,,34.8643686,135.4926861
